00,01,02,03,04,05,06,07,08,09,0A,0B,0C,0D,0E,0F,10,11,12,13,14,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,21,22,23,24,25,26,27,28,29,2A,2B,2C,2D,2E,2F,30,31,32,33,34,35,36,37,38,39,3A,3B,3C,3D,3E,3F,40,41,42,43,44,45,46,47,48,49,4A,4B,4C,4D,4E,4F,50,51,52,53,54,55,56,57,58,59,5A,5B,5C,5D,5E,5F,60,61,62,63,64,65,66,67,68,69,6A,6B,6C,6D,6E,6F,70,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E,7F,80,81,82,83,84,85,86,87,88,89,8A,8B,8C,8D,8E,8F,90,91,92,93,94,95,96,97,98,99,9A,9B,9C,9D,9E,9F,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,AA,AB,AC,AD,AE,AF,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,BA,BB,BC,BD,BE,BF,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,CA,CB,CC,CD,CE,CF,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,DA,DB,DC,DD,DE,DF,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,EA,EB,EC,ED,EE,EF,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,FA,FB,FC,FD,FE,FF
49619,5335,2557,1939,6465,1518,1447,978,4217,581,593,711,3683,818,700,4569,2356,921,777,1333,1488,2900,322,288,1211,442,232,305,958,389,361,355,1025,248,359,317,5802,320,239,243,649,238,198,856,630,308,213,193,1079,236,260,2931,589,770,321,252,682,910,243,1217,501,485,333,258,1593,1525,752,893,2027,7793,3675,836,1316,810,734,416,1024,2353,665,408,4923,2080,606,1689,979,1421,2148,1600,672,1059,367,777,784,1497,1090,920,442,462,191,280,679,816,1246,244,2697,566,3350,226,655,274,331,367,944,347,596,627,3302,3085,521,564,753,371,218,245,743,998,638,453,1170,718,249,5161,2777,5050,424,373,1133,6837,401,20660,928,6350,360,281,9338,288,163,408,522,274,218,181,449,313,172,252,540,250,214,167,529,941,204,350,427,434,190,196,785,216,193,270,477,179,161,278,680,249,180,315,707,395,415,697,1084,447,425,354,588,240,328,273,3700,2341,1231,1378,1231,350,1233,1172,1535,1100,379,645,899,320,962,769,931,462,478,855,593,200,947,783,1376,614,281,926,597,368,227,229,628,205,199,190,645,587,203,204,8583,2705,169,1373,1956,164,218,163,1624,686,294,262,816,254,896,726,1638,716,633,2013,3530,1801,2537,26707
59907,4309,1997,1431,7351,1023,7383,2166,8793,481,410,406,3120,1962,653,2036,2976,393,335,228,1437,2463,232,271,1134,215,200,1094,1013,242,255,285,834,167,180,183,5657,223,130,205,597,169,148,397,402,941,135,153,793,192,222,4491,373,151,146,196,817,272,166,821,660,195,162,204,2723,734,753,676,1604,12387,1347,6623,1428,578,3202,250,617,4231,569,326,13954,2908,948,1617,892,3081,4728,3760,329,2197,474,1067,325,2969,1949,1617,358,139,135,124,4515,349,371,108,3068,108,3112,118,1242,107,114,119,563,194,377,348,6447,5166,279,416,474,1403,161,197,589,2197,447,242,1333,188,133,6202,2851,8128,105,143,539,9060,418,27105,705,6685,120,113,359,118,149,113,309,202,125,129,283,132,166,138,315,126,128,135,431,3447,1872,1578,245,150,130,122,620,176,209,216,502,212,199,202,524,218,154,228,361,280,294,278,1214,1863,1848,214,407,150,303,193,3897,953,2242,3363,3243,1556,3850,7059,1222,1021,280,671,21668,1080,1070,523,1302,313,494,595,576,166,281,589,740,272,175,583,701,127,211,203,1179,181,191,152,3132,2042,164,175,13118,2561,180,837,5580,200,189,305,3193,396,355,297,3125,280,2848,370,1725,1921,818,693,6714,794,2894,37019
17425,1637,1644,559,1100,709,396,319,1110,162,236,281,902,297,180,3167,1064,285,498,242,590,1181,109,100,367,112,104,190,412,188,77,115,664,107,151,359,1722,208,87,140,217,78,129,555,190,145,158,143,241,97,112,1730,228,248,117,108,361,460,157,752,304,497,130,143,1217,567,1761,456,2004,1335,372,228,440,173,118,119,437,649,286,187,2121,1026,373,780,387,642,811,667,273,872,247,340,332,546,468,389,149,129,82,109,289,179,2016,65,989,117,1248,106,144,105,131,162,213,106,203,230,1384,1412,178,164,186,99,72,66,254,342,138,115,320,332,89,2789,1648,3469,108,159,211,2305,91,6167,234,2224,76,134,3003,46,50,52,252,173,53,48,160,49,53,53,189,120,60,55,145,327,72,263,115,198,50,36,142,50,30,93,101,51,39,69,130,52,53,45,150,177,63,442,292,267,252,99,156,208,121,111,2195,486,484,569,536,150,416,569,433,563,218,238,227,139,467,340,286,493,381,196,169,42,220,255,353,126,87,285,209,53,104,62,372,68,57,65,449,293,91,91,2816,1555,101,595,693,51,82,174,554,192,143,130,312,245,553,399,981,497,215,339,711,836,1696,12981
12580,659,397,250,594,261,207,311,525,143,114,50,306,71,95,492,346,134,67,55,159,577,50,39,225,38,38,61,152,44,55,56,845,61,46,29,295,75,30,43,97,55,28,82,119,65,90,119,133,68,49,476,100,118,40,57,83,162,208,203,208,127,184,63,788,1038,73,201,432,1636,183,80,137,187,23,55,143,816,75,111,806,454,384,518,164,453,430,502,137,114,30,165,97,464,214,284,60,381,39,180,279,711,1120,234,716,292,639,74,368,111,328,259,194,36,394,312,1056,1325,130,104,274,178,49,38,75,259,57,45,228,107,32,763,146,1367,35,28,236,2365,35,2929,54,1087,24,21,51,18,9,19,86,43,23,15,119,18,28,15,97,67,30,18,99,90,14,42,80,108,20,17,133,14,17,104,174,17,24,12,121,26,28,29,108,78,38,81,965,71,112,38,124,44,105,34,716,95,162,162,272,47,164,270,221,173,43,77,1274,42,100,63,175,47,100,94,171,18,128,105,263,60,47,183,247,25,54,20,168,18,42,20,138,164,15,16,1128,279,22,390,512,22,19,17,445,64,54,47,226,26,398,89,403,86,69,110,450,205,214,4166
144876,11301,6199,5452,10129,3764,3653,3593,13444,1399,1488,2149,8464,1686,1466,14604,7274,1307,1001,869,4486,9774,954,994,3389,927,729,1233,2940,955,631,652,2834,758,633,991,7492,993,557,712,1826,621,485,3422,1588,957,598,503,2194,1156,1396,11873,1729,1710,711,770,1785,2597,512,3623,1350,1089,927,653,5042,2355,1345,2827,4754,11634,3540,4482,3190,1976,1270,805,2624,5120,1716,1327,17399,19436,2233,5240,2019,5132,6734,5875,2131,1653,847,1941,2737,4855,3517,2851,1485,1806,3472,1209,2240,2792,3014,2144,6179,3128,10154,871,2632,926,1583,1737,2254,553,2394,2445,11219,10399,1675,1616,3582,1312,601,768,2080,2960,1609,824,3498,2201,645,10927,6280,29588,1975,959,4680,20998,1203,54840,1675,19419,977,641,27935,749,430,529,1619,2587,442,394,1395,944,321,310,1383,2997,512,472,2243,1564,369,519,1250,1727,417,401,2092,379,476,1252,1297,317,381,791,1971,391,295,833,1637,4176,1854,1408,3664,1116,1559,1047,2355,2647,1731,942,15299,6261,4236,3105,2295,822,2488,3875,5630,2899,897,1676,1715,875,2223,1434,3642,1592,1565,1061,2582,384,1037,1209,3502,1363,682,3078,1830,415,643,558,2333,798,448,547,2007,1902,611,597,15397,5541,398,4308,6517,333,371,624,6000,2675,2143,2947,7370,11194,7872,3727,6310,4025,2515,2607,7053,4030,3334,112543
1710,115,39,43,267,36,94,36,302,16,21,15,162,67,29,113,99,16,14,16,64,102,11,7,55,15,10,10,41,7,17,7,42,6,8,6,249,36,4,5,25,6,5,7,21,5,2,1,37,14,9,145,24,13,3,8,29,12,4,46,37,33,4,6,483,30,35,10,94,282,50,55,28,5,34,4,32,84,19,9,197,75,13,43,33,92,121,75,16,65,7,32,8,122,76,51,73,65,8,9,102,22,43,1,89,2,74,4,112,5,4,1,16,7,11,11,158,186,9,17,27,15,2,2,7,34,31,17,39,13,6,286,43,135,5,3,20,180,8,706,16,130,2,3,69,17,18,9,13,4,1,2,31,19,1,48,6,0,4,2,11,68,0,39,12,0,3,3,7,3,7,1,3,3,2,3,5,5,1,3,8,2,10,11,43,19,5,6,5,3,6,5,143,39,79,102,76,30,56,195,49,30,3,3,677,18,7,9,16,7,15,4,10,8,26,5,15,4,1,10,32,2,3,0,31,4,1,3,35,50,5,2,253,155,10,38,158,18,19,17,113,28,12,29,68,4,56,14,44,10,5,4,102,6,25,831
89371,7239,3768,3127,6857,2489,1589,1233,7950,863,808,735,4345,947,698,5352,3575,1134,946,821,2576,4699,433,454,1871,716,374,373,1721,599,374,753,2719,491,955,420,10220,968,280,312,1231,287,290,1626,1372,427,314,655,1422,445,423,4257,993,983,348,440,1212,1110,289,2067,962,755,338,312,5750,1862,2290,1871,3622,9469,2537,2775,4708,9613,816,604,2054,4346,1202,854,7313,2551,968,1994,1806,3179,3027,2210,1269,1560,583,893,1457,3337,1720,1216,948,551,348,324,1384,1218,1266,320,2380,781,4624,448,826,385,422,443,1977,669,1193,1389,5946,5375,1463,1090,1543,707,417,499,1211,1620,1096,651,1636,893,477,5436,3574,6710,464,454,1658,10718,692,27780,1258,9253,513,439,20726,258,275,623,811,501,225,225,708,555,204,230,768,554,259,413,863,929,230,644,673,1070,288,279,892,274,227,470,769,223,218,677,800,417,241,336,904,542,749,712,2079,824,385,455,852,505,469,389,5022,2236,2344,2245,1581,388,2178,3061,2457,1650,565,840,1065,358,1680,1048,1282,612,773,615,931,282,881,697,2759,3325,362,1502,1394,1675,549,460,1813,425,277,213,1515,948,312,290,9662,3757,225,2073,3794,312,402,244,2526,1159,366,420,1168,272,1491,1335,2888,1519,1119,1555,4777,2713,2615,39960
52212,3536,2229,1168,2457,1006,816,1243,3206,440,466,375,1713,789,554,1579,2016,376,358,250,1395,2486,254,233,754,333,212,239,576,219,215,242,733,268,305,191,2271,286,186,157,424,125,122,331,464,191,180,166,589,193,206,2176,456,309,239,207,488,612,404,515,353,257,192,132,4169,1072,425,875,5497,3125,557,400,591,381,332,210,608,1621,504,318,4144,1504,768,1510,766,1262,2123,1600,1034,716,150,488,547,1147,783,739,549,1093,950,670,1163,1558,1002,348,5032,713,2415,189,700,265,787,744,1088,133,791,840,3706,3220,510,391,574,861,137,162,402,787,360,170,1436,508,148,2817,751,5111,194,197,845,4434,180,11315,335,3981,127,110,252,165,66,214,294,272,99,73,283,76,53,56,198,183,81,93,223,500,60,120,178,333,74,78,269,66,79,291,169,69,42,65,307,92,69,104,209,426,110,306,1068,175,250,138,235,263,489,184,2853,502,859,518,575,152,718,1045,652,687,87,200,6370,158,439,270,542,161,285,281,406,83,372,288,650,200,93,518,555,173,146,170,655,84,119,70,793,422,64,147,5059,1558,91,1550,1826,78,96,198,1694,336,102,140,612,165,1271,854,1629,335,173,199,2052,1120,1034,19491
12554,1066,613,574,723,463,219,315,661,218,172,226,577,219,145,1297,364,102,82,94,343,999,82,205,217,63,71,106,156,93,147,72,256,79,94,107,3515,101,63,89,202,75,62,307,171,75,56,61,231,70,69,763,313,481,44,87,176,173,63,300,228,178,59,51,480,2203,128,100,701,427,77,153,251,86,176,66,417,213,98,98,1092,194,99,539,284,192,360,396,278,161,173,116,302,182,189,234,207,81,40,94,200,135,307,68,542,330,736,68,203,73,83,108,586,168,138,193,1056,530,74,229,289,116,76,81,372,136,117,161,272,227,90,764,1293,1340,96,77,594,1762,143,3241,572,955,90,100,1057,61,36,80,217,70,58,46,132,82,48,43,299,66,43,52,588,281,266,229,88,81,40,46,266,47,35,162,197,44,46,84,153,168,42,55,310,199,189,164,161,118,122,83,281,91,178,117,1056,681,159,316,180,79,215,299,564,170,85,191,162,72,116,113,304,155,118,132,103,59,199,121,186,120,99,133,123,49,84,50,177,81,86,48,148,102,66,86,776,423,52,306,266,35,69,68,438,154,137,163,155,77,491,166,398,152,118,195,373,275,235,4767
1710,115,39,43,268,36,94,36,302,16,21,15,162,67,29,113,99,16,14,16,64,102,11,7,56,15,10,10,42,7,17,7,40,6,8,6,249,36,4,5,25,6,5,7,21,5,2,1,39,14,9,145,23,13,3,8,29,12,4,46,37,33,4,6,483,30,35,10,95,282,50,55,27,5,34,4,32,84,19,9,197,75,13,43,33,92,121,75,17,65,7,32,8,122,76,51,73,65,8,9,101,22,43,1,87,2,74,4,112,5,4,1,14,7,11,10,158,186,10,17,29,15,2,2,7,34,31,17,41,13,6,286,44,135,5,3,19,180,8,706,16,130,2,3,69,17,18,9,13,4,1,2,32,19,1,48,4,0,4,2,10,68,0,39,12,0,3,3,7,3,7,1,4,3,2,3,6,5,1,3,8,2,10,11,43,19,5,6,6,3,6,5,143,39,79,102,76,30,56,195,48,30,3,3,675,18,7,9,16,7,15,4,10,8,26,5,15,4,1,10,34,2,3,0,31,4,1,3,35,50,5,2,254,155,10,38,158,18,19,17,113,28,12,29,67,4,56,14,43,10,5,4,101,6,25,831
