FileName,b'SetVolumeMountPointW',b'RmGetList',b'RmStartSession',b'RmEndSession',b'RmRegisterResources',b'EnumDeviceDrivers',b'GetDeviceDriverBaseNameW',b'EnumCalendarInfoA',b'GetConsoleAliasesLengthA',b'GetKeyNameTextA',b'CreateProcessWithLogonW',b'FindAtomA',b'GetConsoleAliasesLengthW',b'BuildCommDCBAndTimeoutsA',b'MapVirtualKeyA',b'BuildCommDCBA',b'WriteProfileSectionA',b'AddConsoleAliasA',b'GetCommState',b'GetDefaultCommConfigA',b'SHTestTokenMembership',b'EnumResourceNamesA',b'VerLanguageNameW',b'GetSystemTimeAdjustment',b'SHEmptyRecycleBinA',b'GetThreadSelectorEntry',b'CreateActCtxA',b'VerLanguageNameA',b'CommConfigDialogW',b'FindFirstChangeNotificationA',b'GetNamedPipeHandleStateA',b'CopyFileExA',b'GetConsoleAliasW',b'GetProcessShutdownParameters',b'FindNextVolumeA',b'WritePrivateProfileSectionA',b'EndUpdateResourceA',b'GetProfileSectionW',b'EndPath',b'GetCalendarInfoA',b'SetSystemTime',b'GetCommConfig',b'SetCommState',b'FindFirstVolumeA',b'GetCompressedFileSizeA',b'SetVolumeMountPointA',b'SetFileApisToANSI',b'OpenWaitableTimerW',b'EnumDateFormatsW',b'GetSystemTimes',b'SetSystemPowerState',b'SetVolumeLabelW',b'ReadConsoleOutputCharacterW',b'GetMailslotInfo',b'GetEnhMetaFilePaletteEntries',b'SetSystemTimeAdjustment',b'ResetWriteWatch',b'EnumDateFormatsA',b'EnumResourceTypesW',b'MapUserPhysicalPages',b'ZombifyActCtx',b'_hread',b'InitAtomTable',b'GetSystemWow64DirectoryA',b'GetPrivateProfileSectionNamesA',b'GetConsoleAliasExesLengthA',b'BeginUpdateResourceA',b'RealGetWindowClassA',b'CallNamedPipeA',b'GetPrivateProfileSectionNamesW',b'PlayEnhMetaFile',b'RequestWakeupLatency',b'EnumDependentServicesA',b'BuildCommDCBAndTimeoutsW',b'GetQueuedCompletionStatusEx',b'SetComputerNameA',b'GetComputerNameExA',b'WriteProfileSectionW',b'_lopen',b'SetMailslotInfo',b'HeapWalk',b'GetCurrencyFormatA',b'GetCurrentHwProfileW',b'BeginPath',b'EraseTape',b'GetConsoleAliasExesLengthW',b'BuildCommDCBW',b'GetDefaultCommConfigW',,b'GetLastError',b'GetCurrentThreadId',b'GetProcAddress',b'GetCurrentProcess',b'Sleep',b'GetCurrentProcessId',b'QueryPerformanceCounter',b'TerminateProcess',b'GetSystemTimeAsFileTime',b'UnhandledExceptionFilter',b'SetUnhandledExceptionFilter',b'GetTickCount',b'EnterCriticalSection',b'LeaveCriticalSection',b'CloseHandle',b'DeleteCriticalSection',b'WriteFile',b'GetModuleHandleW',b'GetModuleHandleA',b'TlsGetValue',b'exit',b'ExitProcess',b'MultiByteToWideChar',b'WideCharToMultiByte',b'HeapFree',b'HeapAlloc',b'InitializeCriticalSection',b'GetStdHandle',b'_initterm',b'__setusermatherr',b'GetModuleFileNameW',b'memcpy',b'_cexit',b'SetLastError',b'free',b'CreateFileW',b'__set_app_type',b'FreeLibrary',b'malloc',b'IsDebuggerPresent',b'GetProcessHeap',b'_amsg_exit',b'ReadFile',b'VirtualProtect',b'VirtualQuery',b'WaitForSingleObject',b'memset',b'RaiseException',b'_onexit',b'LoadLibraryA',b'GetModuleFileNameA',b'RegCloseKey',b'RtlCaptureContext',b'HeapReAlloc',b'GetStartupInfoA',b'GetACP',b'__dllonexit',b'FindClose',b'TlsSetValue',b'RtlVirtualUnwind',b'RtlLookupFunctionEntry',b'GetCommandLineW',b'_lock',b'_unlock',b'_fmode',b'GetFileType',b'CreateThread',b'GetStartupInfoW',b'GetCPInfo',b'TlsAlloc',b'LocalFree',b'GetConsoleMode',b'WriteConsoleW',b'GetEnvironmentStringsW',b'FreeEnvironmentStringsW',b'__C_specific_handler',b'IsProcessorFeaturePresent',b'HeapSize',b'InitializeCriticalSectionAndSpinCount',b'FlushFileBuffers',b'GetStringTypeW',b'SetFilePointer',b'LCMapStringW',b'GetOEMCP',b'__getmainargs',b'TlsFree',b'VirtualAlloc',b'_exit',b'LoadLibraryW',b'calloc',b'fwrite',b'RtlUnwind',b'strncmp',b'IsValidCodePage',b'SetStdHandle',b'GetCommandLineA',b'abort',b'LoadLibraryExW',b'DecodePointer',b'fprintf',b'lstrlenW',b'strlen',b'RegOpenKeyExW',b'SetEvent',b'_CorExeMain',b'FindNextFileW',b'EncodePointer',b'VirtualFree',b'GetConsoleCP',b'_acmdln',b'LocalAlloc',b'__iob_func',b'RegQueryValueExW',b'signal',b'__initenv',b'FindFirstFileW',b'_XcptFilter',b'CreateFileA',b'GetFileAttributesW',b'CreateEventW',b'vfprintf',b'?terminate@@YAXXZ',b'memmove',b'CreateProcessW',b'__lconv_init',b'SetEndOfFile',b'CompareStringW',b'DeleteFileW',b'CoCreateInstance',b'SetFilePointerEx',b'fclose',b'GetModuleHandleExW',b'HeapCreate',b'GetSystemInfo',b'HeapSetInformation',b'FormatMessageW',b'InterlockedIncrement',b'SetErrorMode',b'GlobalAlloc',b'InterlockedDecrement',b'lstrlenA',b'_errno',b'RtlAddFunctionTable',b'GetCurrentThread',b'OpenProcess',b'GetFileSize',b'OpenProcessToken',b'OutputDebugStringW',b'RegSetValueExW',b'CoUninitialize',b'SetHandleCount',b'ShowWindow',b'TranslateMessage',b'InitializeSListHead',b'__CxxFrameHandler3',b'LoadResource',b'MessageBoxA',b'GetExitCodeProcess',b'_initterm_e',b'WaitForMultipleObjects',b'DestroyWindow',b'GetLocaleInfoA',b'strchr',b'GetVersion',b'SysFreeString',b'_commode',b'RegCreateKeyExW'
00170109c3feb36114fd51d886273bf7bc3906346bf090eace29badec2cb391f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
008d0c1a4e83a37d34c14993a6d76c18ae13c03ba54d12e1246fb1495a20e2a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ed4c347cd62526226363a0aceb851b2ef7e3a4da78433a28f2cd6cbd5f1b99.exe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00ffb44d84c56930b9eb698b5868a4f42703d69c660bdd37e7d5a813137f0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
01157c3e056d2040250598bc9b4aac8b4ad8b7f2c595381d320290dd79b8317d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0
013046c862903a062e9655e5dc997cb9f0aa8d250156b4fbfcdcc476fb1d71d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0146a167e27d4245a1843f2e583f024d36ae9760faf94aa95ab2c751b99806b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014c0a8ffe11dee61e5beb740fbc223168e83ed53fae145e25d1bda0861933c2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
014e74047737bd80b887a0d63081949568a0bb2c3e6f0610f52222f6d6412a14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
