FileName,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
1.exe,332,28,449348,0,4,0,0,8192,48,0,3,1048576,34144,129676,0,1
10.exe,332,28,122524,0,4,0,0,8192,8,0,3,1048576,1344,1104,0,1
100.exe,332,28,24384,0,4,0,0,8192,11,0,3,1048576,34112,1352,0,1
101.exe,332,28,10652,0,4,0,0,8192,8,0,3,1048576,1344,1040,0,1
102.exe,332,28,1826364,0,4,0,0,8192,48,0,3,1048576,34112,448964,0,1
103.exe,332,28,88556,0,4,0,0,8192,8,0,3,1048576,34112,33912,0,1
104.exe,332,28,116228,0,4,0,0,8192,8,0,3,1048576,34112,10776,0,1
105.exe,332,28,10804,0,4,0,0,8192,8,0,3,1048576,34112,1056,0,1
106.exe,332,28,476648,0,4,0,0,8192,48,0,3,1048576,34144,218392,0,1
107.exe,332,28,26684,0,4,0,0,8192,11,0,3,1048576,34112,1416,0,1
108.exe,332,28,17432,0,4,0,0,8192,8,0,3,1048576,1024,840,0,1
109.exe,332,28,58236,0,4,0,0,8192,8,0,3,1048576,1024,992,0,1
11.exe,332,28,8316,0,4,0,0,8192,6,0,3,1048576,0,816,0,1
110.exe,332,0,0,0,4,0,0,8192,8,0,3,1048576,1024,1016,0,1
111.exe,332,28,14308,0,4,0,0,8192,8,0,3,1048576,1024,744,0,1
112.exe,332,28,59336,0,4,0,0,8192,8,0,3,1048576,34112,1408,0,1
113.exe,332,28,24224,0,4,0,0,8192,11,0,3,1048576,34112,5904,0,1
114.exe,332,28,293016,0,4,0,0,8192,8,0,3,1048576,1024,792,0,1
115.exe,332,28,10804,0,4,0,0,8192,8,0,3,1048576,34112,1056,0,1
116.exe,332,0,0,0,4,0,0,8192,8,0,3,1048576,1024,2048,0,1
117.exe,332,28,31996,0,4,0,0,8192,8,0,3,1048576,34112,2544,0,1
118.exe,332,28,22260,0,4,0,0,8192,8,0,3,1048576,34112,808,0,1
119.exe,332,28,2964820,0,4,0,0,8192,11,0,3,1048576,34112,1376,0,1
12.exe,332,28,18792,0,4,0,0,8192,8,0,3,1048576,1024,776,0,1
120.exe,332,28,39508,0,4,0,0,8192,8,0,3,1048576,1344,2760,0,1
121.exe,332,28,10488,0,4,0,0,8192,8,0,3,1048576,1024,1072,0,1
122.exe,332,28,285064,0,4,0,0,8192,8,0,3,1048576,34112,38520,0,1
123.exe,332,0,0,0,4,0,0,8192,8,0,3,1048576,1024,736,0,1
124.exe,332,28,57732,0,4,0,0,8192,8,0,3,1048576,34112,1504,0,1
125.exe,34404,28,145660,0,4,0,0,0,8,0,2,4194304,1024,26872,0,1
126.exe,332,0,0,0,4,0,0,8208,6,0,3,1048576,0,764,0,1
127.exe,332,28,514292,0,4,0,0,8192,8,0,3,1048576,34112,1328,0,1
128.exe,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,744,0,1
129.exe,332,28,10116,0,4,0,0,8192,8,0,3,1048576,1024,848,0,1
13.exe,332,28,290676,0,4,0,0,8192,11,0,3,1048576,34112,210608,0,1
130.exe,332,28,42348,0,4,0,0,8192,8,0,3,1048576,1024,760,0,1
131.exe,332,28,14512,0,4,0,0,8192,8,0,3,1048576,1344,816,0,1
132.exe,332,28,15796,0,4,0,0,8192,8,0,3,1048576,34112,1680,0,1
133.exe,332,28,44796,0,4,0,0,8192,8,0,3,1048576,34112,1424,0,1
134.exe,332,0,0,0,4,0,0,8192,6,0,3,1048576,1024,856,0,1
135.exe,332,28,129540,0,4,0,0,8192,8,0,3,1048576,1344,11280,0,1
136.exe,332,28,10640,0,4,0,0,8192,6,0,3,1048576,0,2120,0,1
137.exe,332,28,24988,0,4,0,0,8192,8,0,3,1048576,34112,1424,0,1
138.exe,332,28,287148,0,4,0,0,8192,11,0,3,1048576,34112,3280,0,1
