FileName,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
VirusShare_0a140c5f828e3581e25f471bf7ee54fa,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0,0
VirusShare_0a29134064c19d23dc603947eb8e44a7,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
VirusShare_0a332da03e16fc6c19b5b4597a223cc0,332,0,0,0,4,0,0,16384,8,0,4,1048576,0,58904,0,0
VirusShare_0a398a5ce48bfea366e0ed7ce8df5aa0,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1024,0,0
VirusShare_0a4158f22b7fcd9e6f7f310a54ae5730,332,0,0,0,4,0,0,0,2,25,6,0,1,2560,0,0
VirusShare_0a451693b2cc0ba572469bb8d4905970,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_0a468c18e38a5cf9a0eac8360941c07e,332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,43176,0,0
VirusShare_0a493b94f1458ff7d2f151d46abcc64d,332,0,0,0,4,17344,68,4096,8,0,4,1048576,0,928,0,0
VirusShare_0a493f9196f1cbe294873f52c1983447,332,28,74176,0,5,0,0,73728,10,0,4,1048576,32768,16792,0,0
VirusShare_0a5014c590576039cccc3f2afc997c43,332,0,0,1,4,0,0,0,2,4,7,2097152,0,227840,0,0
VirusShare_0a5916725f414419e336fe94ee5b1ad0,332,0,0,0,5,0,0,200704,9,0,8,1048576,32768,24712,0,0
VirusShare_0a617c203e1f1b0acf18ed2ff8d84840,332,0,0,0,5,0,0,28672,9,0,5,1048576,32768,125356,0,0
VirusShare_0a641e90a2ed5795c491cc19ee383830,332,0,0,1,4,0,0,4096,6,0,3,1048576,0,1520,0,0
VirusShare_0a6526c166f23456f2f4305f5d7bbfc9,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3152,0,0
VirusShare_0a6721cf98bb437b1ed8f4b67c517aeb,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3152,0,0
VirusShare_0a68ae9a46bfb18804997280ac38b6a0,332,28,4256,6,6,0,0,4096,8,0,4,262144,33088,1000,0,0
VirusShare_0a693d5dab7b5191e69661a328e441c9,332,0,0,0,4,0,0,0,2,0,12,1048576,0,33148,0,0
VirusShare_0a7095cef79e776f7ed9dc1abc155a7e,332,0,0,0,4,172032,183,0,2,25,7,0,1,4096,0,0
VirusShare_0a716d5678b55c1b2e9c5e86d101de61,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_0a72ceccacb5b4afadcc699944116c0c,332,56,53712,0,6,71536,292,53248,11,0,5,1048576,320,1280,0,0
VirusShare_0a74be110e840845a12a52f8ee9d8d61,332,0,0,0,4,14544,68,4096,0,0,4,1048576,0,54784,0,0
VirusShare_0a76c5eaaf2be7c9dd9ba1d45e2e92fa,332,0,0,0,5,0,0,32768,9,0,3,1048576,32768,45920,0,0
VirusShare_0a798183be5424a9bbc318c8d9ff453f,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_0a81a4a594bb8fd51f4fc8c6464f948e,332,0,0,1,5,53248,261,32768,11,0,11,1048576,0,2544,0,0
VirusShare_0a820d851271a391ccdfff47790a4ed2,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
VirusShare_0a8319008f19e2f38e44cbd7d2c84f5e,332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,4728,0,0
VirusShare_0a831e91534fc143d9072b77e77fe250,332,28,81920,0,4,105808,358,74536,11,0,7,1048576,0,79420,0,0
VirusShare_0a8487a0c265928e3c64ea336e34b6da,332,0,0,0,4,0,0,49152,6,0,5,1048576,0,45832,0,0
VirusShare_0a85ea7926dbb0ea07c702d6894ca1d0,332,0,0,0,4,0,0,0,5,12,3,1048576,0,172,0,0
VirusShare_0a92aa568b137b988d80829cb21c6901,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_0a936600e29c2d1eddd8db5f6ea1ab58,332,0,0,1,4,0,0,0,6,0,10,1048576,0,2172,0,0
VirusShare_0a94b754ff74d08b1e8c8ef80483c4a0,332,28,40960,0,5,32768,6125,45056,13,0,13,1048576,0,126740,0,0
VirusShare_0a984388f755cedbef29773a1cf9a233,332,0,0,0,4,0,0,12288,5,12,4,1048576,0,992,0,0
VirusShare_0a988624b18bde26060b62506d3efce3,332,0,0,0,4,0,0,0,2,25,3,1048576,0,13324,0,0
VirusShare_0a98f14461d3a483820e833c1b04b480,332,0,0,0,4,0,0,20480,6,0,4,1048576,0,0,0,0
VirusShare_0a998990094c90557ea75d6c3f6f8424,332,0,0,0,5,0,0,0,35,43,3,1048576,0,0,0,0
VirusShare_0aa34c3277c4325ed6adeb5412abf891,332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,4728,1,0
VirusShare_0aa4c71bbba5725c2ed81bc37e1e8c50,332,0,0,0,5,0,0,0,10,0,3,1048576,33088,48708,0,0
