,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
0,34404,56,268432,10,6,0,0,266240,11,0,6,1048576,33120,1488,0,1
1,34404,0,0,0,4,0,0,38332,2,27,11,2097152,0,5000,0,1
2,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
3,332,0,0,0,1,73728,227,0,2,25,8,26000,0,5120,0,1
4,34404,56,181296,0,6,238464,230,180224,12,0,5,1048576,33056,71816,0,1
5,34404,0,0,0,4,0,0,54480,2,25,9,2097152,0,0,0,1
6,34404,28,4160,6,6,0,0,25400,10,10,6,524288,33120,3848,0,1
7,332,56,22896,10,10,0,0,81920,12,10,5,262144,49472,3488,0,1
8,34404,28,4208,6,6,0,0,91200,10,10,6,524288,33120,1784,0,1
9,34404,0,0,0,4,0,0,133600,2,27,11,2097152,0,5000,0,1
10,34404,0,0,0,4,0,0,45888,2,25,9,2097152,0,0,0,1
11,34404,84,1727024,0,5,1889536,192,1421312,14,0,7,1048576,33120,920,0,1
12,332,56,9952,10,10,0,0,40960,12,10,6,262144,49472,2328,0,1
13,34404,56,70992,10,10,0,0,32768,12,10,7,524288,49504,1824,0,1
14,332,28,5936,0,5,320160,84,4096,10,0,4,1048576,33088,16720,0,1
15,34404,28,729136,0,4,0,0,724992,8,0,5,1048576,32768,417976,0,1
16,34404,56,48944,10,10,0,0,40960,12,10,6,524288,49504,5208,0,1
17,34404,56,1070208,10,10,1120352,90,991232,12,10,6,524288,49504,392368,1,1
18,34404,0,0,0,4,0,0,78752,2,25,9,12582912,0,0,0,1
19,34404,56,58368,10,6,0,0,57344,11,0,6,1048576,33120,1540,0,1
20,34404,0,0,0,4,0,0,37628,2,27,11,2097152,0,5008,0,1
21,332,28,163880,0,4,0,0,8192,11,0,3,1048576,34112,1952,0,1
22,34404,56,267888,10,10,0,0,249856,12,10,8,524288,49632,46080,0,1
23,332,56,6304,10,10,0,0,77824,12,10,5,1048576,49472,2104,0,1
24,332,0,0,0,1,65536,205,0,2,25,7,1048576,0,0,0,1
25,332,28,4224,10,6,0,0,336796,11,0,5,1048576,33088,33604,0,1
26,34404,84,900048,0,5,1005056,192,778240,14,0,7,1048576,33120,920,0,1
27,34404,0,0,0,4,0,0,38132,2,27,11,2097152,0,5008,0,1
28,332,56,279008,5,5,0,0,278528,12,0,5,1048576,33088,12656,0,1
29,332,28,123712,0,5,0,0,122880,10,0,5,1048576,33088,5444,0,1
30,34404,0,0,0,4,0,0,37616,2,25,9,2097152,0,0,0,1
31,332,0,0,1,4,0,0,24872,2,22,8,2097152,0,119704,0,1
32,34404,0,0,0,4,0,0,55140,2,27,11,2097152,0,4984,0,1
33,34404,0,0,0,4,0,0,37928,2,27,11,2097152,0,5016,0,1
34,34404,0,0,0,4,0,0,291720,2,25,9,2097152,0,0,0,1
35,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
36,332,28,122524,0,4,0,0,8192,8,0,3,1048576,1344,1104,0,1
37,34404,0,0,0,4,0,0,55000,2,25,9,2097152,0,0,0,1
38,34404,0,0,0,4,0,0,37612,2,25,10,2097152,0,1504,0,1
39,332,28,19060,0,4,0,0,8192,11,0,3,1048576,34144,1672,0,1
40,34404,56,31120,10,10,0,0,28672,12,10,6,524288,49504,4512,0,1
41,332,28,18792,0,4,0,0,8192,8,0,3,1048576,1024,776,0,1
42,34404,0,0,0,4,0,0,50584,2,27,11,2097152,0,5008,0,1
43,332,0,0,6,5,0,0,1104512,2,25,8,1048576,33088,103424,0,1
44,332,56,12480,10,10,0,0,40960,12,10,5,262144,49472,1792,0,1
45,332,28,290676,0,4,0,0,8192,11,0,3,1048576,34112,210608,0,1
46,34404,0,0,0,4,0,0,70992,2,27,11,2097152,0,5016,0,1
